,decision,draws,losses,wins,opponent_wins,opponent_losses,opponent_draws,Height_Difference,Age_Difference
6,Loss,0,0,26,23,0,0,2.0,-5.0
7,Loss,0,0,26,23,0,0,2.0,-5.0
8,Win,1,3,10,10,2,1,5.0,-2.0
9,Win,1,3,10,10,2,1,5.0,-2.0
10,Win,1,3,10,10,2,1,5.0,-2.0
11,Win,1,3,10,10,2,1,5.0,-2.0
12,Win,0,7,15,15,6,0,-4.0,-1.0
13,Win,0,7,15,15,6,0,-4.0,-1.0
14,Win,0,9,21,19,3,0,1.0,-3.0
15,Win,0,9,21,19,3,0,1.0,-3.0
16,Win,0,9,21,19,3,0,1.0,-3.0
17,Win,0,9,21,19,3,0,1.0,-3.0
20,Win,2,16,33,27,6,1,0.0,-7.0
21,Win,2,16,33,27,6,1,0.0,-7.0
26,Win,3,11,21,18,3,3,-3.0,-5.0
27,Win,3,11,21,18,3,3,-3.0,-5.0
38,Win,0,4,14,13,3,0,9.0,-2.0
39,Win,0,4,14,13,3,0,9.0,-2.0
63,Loss,0,1,39,35,0,0,-5.0,4.0
64,Win,1,6,23,21,2,1,-3.0,3.0
77,Loss,0,0,11,10,0,0,-5.0,1.0
78,Loss,0,13,62,44,11,0,5.0,-5.0
95,Win,1,11,22,18,5,1,-2.0,1.0
96,Win,1,11,22,18,5,1,-2.0,1.0
97,Win,4,15,35,18,6,3,3.0,-2.0
98,Win,4,15,35,18,6,3,3.0,-2.0
99,Win,1,8,35,27,3,1,-2.0,-3.0
100,Win,1,8,35,27,3,1,-2.0,-3.0
101,Win,1,5,47,47,4,1,3.0,-4.0
102,Win,1,5,47,47,4,1,3.0,-4.0
103,Loss,1,5,47,44,4,1,3.0,-4.0
104,Loss,1,5,47,44,4,1,3.0,-4.0
105,Win,1,5,47,47,4,1,3.0,-4.0
106,Win,1,5,47,47,4,1,3.0,-4.0
107,Loss,1,5,47,44,4,1,3.0,-4.0
108,Loss,1,5,47,44,4,1,3.0,-4.0
109,Win,0,5,37,29,0,0,5.0,-2.0
110,Win,0,5,37,29,0,0,5.0,-2.0
111,Win,0,5,37,29,0,0,5.0,-2.0
112,Win,0,5,37,29,0,0,5.0,-2.0
113,Win,0,5,37,29,0,0,5.0,-2.0
114,Win,0,5,37,29,0,0,5.0,-2.0
115,Win,2,4,28,28,3,2,-7.0,3.0
116,Win,2,4,28,28,3,2,-7.0,3.0
117,Win,1,14,6,6,2,1,-7.0,0.0
118,Win,1,14,6,6,2,1,-7.0,0.0
119,Win,2,59,63,38,23,1,-5.0,-4.0
120,Win,2,59,63,38,23,1,-5.0,-4.0
121,Win,2,3,16,16,1,2,-2.0,-5.0
122,Win,2,3,16,16,1,2,-2.0,-5.0
123,Loss,1,14,39,31,5,1,8.0,-3.0
124,Loss,1,14,39,31,5,1,8.0,-3.0
127,Loss,0,1,9,7,0,0,10.0,4.0
128,Loss,0,1,9,7,0,0,10.0,4.0
129,Win,1,8,48,40,7,1,8.0,-11.0
130,Win,1,8,48,40,7,1,8.0,-11.0
133,Win,1,12,18,10,3,0,5.0,2.0
134,Win,1,12,18,10,3,0,5.0,2.0
137,Loss,1,14,39,37,7,1,5.0,-6.0
138,Win,4,15,13,10,13,4,7.0,-6.0
139,Win,4,15,13,10,13,4,7.0,-6.0
140,Win,4,15,13,10,13,4,7.0,-6.0
141,Loss,4,4,19,18,4,3,0.0,-4.0
142,Win,0,17,9,9,11,0,7.0,-6.0
143,Loss,1,14,39,27,5,1,-5.0,0.0
144,Win,2,18,14,11,12,1,-10.0,5.0
145,Loss,0,4,29,21,0,0,-5.0,4.0
146,Win,4,8,7,7,7,4,-5.0,4.0
147,Loss,2,0,8,6,0,2,-14.0,11.0
148,Win,2,25,21,20,23,2,0.0,-1.0
149,Win,2,25,21,20,15,2,0.0,-1.0
150,Win,2,25,21,20,10,2,0.0,-1.0
153,Loss,2,7,32,30,6,1,-8.0,-6.0
154,Loss,1,0,19,16,0,0,-8.0,5.0
155,Loss,0,4,34,20,0,0,-6.0,-2.0
162,Loss,1,14,39,30,5,1,2.0,6.0
164,Win,2,6,16,11,4,1,0.0,7.0
165,Win,1,14,39,38,10,1,3.0,-5.0
166,Loss,0,3,16,11,2,0,3.0,0.0
167,Loss,2,8,19,16,3,1,-5.0,1.0
168,Loss,2,8,19,16,3,1,-5.0,1.0
169,Loss,2,8,19,13,2,0,-5.0,1.0
170,Loss,2,8,19,13,2,0,-5.0,1.0
171,Loss,2,11,23,13,3,0,-5.0,-2.0
172,Loss,2,11,23,13,3,0,-5.0,-2.0
173,Loss,0,9,28,5,1,0,3.0,-7.0
210,Loss,1,14,39,35,5,1,5.0,4.0
216,Loss,0,4,37,36,3,0,10.0,3.0
217,Win,0,13,14,0,0,0,-3.0,1.0
218,Win,1,16,30,19,9,0,7.0,4.0
220,Win,1,14,39,38,8,1,-5.0,3.0
222,Win,2,13,34,17,1,0,-5.0,3.0
223,Loss,1,8,33,26,2,1,-13.0,1.0
224,Win,0,14,26,24,6,0,-5.0,-4.0
225,Win,0,14,26,24,6,0,-5.0,-4.0
226,Win,1,2,20,17,0,1,-10.0,5.0
227,Win,0,23,29,26,16,0,-2.0,-3.0
228,Win,0,24,29,26,16,0,-2.0,-3.0
229,Win,4,6,18,11,1,2,-5.0,5.0
230,Loss,0,10,29,22,2,0,-3.0,0.0
231,Loss,0,1,37,34,1,0,-5.0,6.0
244,Win,1,14,39,38,9,1,13.0,-4.0
247,Loss,1,8,33,31,6,1,5.0,-6.0
248,Loss,0,0,25,14,0,0,10.0,-1.0
256,Loss,0,3,25,0,0,0,-8.0,-3.0
258,Loss,1,0,13,6,0,1,-3.0,-1.0
260,Loss,1,1,23,11,0,1,-8.0,-1.0
263,Loss,1,9,25,16,9,1,5.0,-7.0
264,Loss,2,3,16,7,1,2,-13.0,-7.0
265,Loss,0,3,31,26,3,0,-10.0,-7.0
266,Loss,0,3,25,6,0,0,-15.0,2.0
267,Loss,0,3,25,5,0,0,-15.0,2.0
268,Loss,0,3,25,6,0,0,-15.0,2.0
269,Loss,0,3,25,5,0,0,-15.0,2.0
270,Loss,1,3,18,5,0,0,-4.0,7.0
271,Loss,1,3,18,5,0,0,-4.0,7.0
272,Loss,1,3,18,5,0,0,-4.0,7.0
273,Loss,1,3,18,5,0,0,-4.0,7.0
274,Loss,1,10,21,16,2,0,-10.0,3.0
275,Loss,1,10,21,12,0,0,-10.0,3.0
276,Loss,1,10,21,16,2,0,-10.0,3.0
277,Loss,1,10,21,12,0,0,-10.0,3.0
278,Draw,1,17,11,9,4,0,-7.0,-2.0
279,Draw,1,17,11,9,4,0,-7.0,-2.0
280,Draw,1,17,11,9,4,0,-7.0,-2.0
281,Draw,1,17,11,9,4,0,-7.0,-2.0
282,Loss,0,5,21,19,5,0,-12.0,-1.0
283,Loss,0,5,21,19,5,0,-12.0,-1.0
284,Loss,0,3,25,1,0,0,-6.0,3.0
285,Loss,4,10,17,12,1,1,2.0,2.0
286,Loss,4,10,17,9,0,1,2.0,2.0
290,Loss,1,15,44,17,1,1,-8.0,3.0
298,Loss,0,1,18,3,0,0,-3.0,11.0
299,Loss,2,3,16,8,2,2,-11.0,-1.0
300,Loss,0,3,31,16,0,0,-8.0,-1.0
301,Loss,2,5,12,5,0,1,0.0,7.0
302,Loss,0,5,27,5,0,0,-1.0,2.0
304,Loss,0,7,6,5,4,0,-6.0,0.0
307,Loss,2,3,19,12,3,0,-11.0,1.0
310,Loss,0,3,25,21,2,0,-5.0,5.0
315,Loss,0,3,40,25,1,0,5.0,4.0
316,Loss,0,3,40,25,1,0,5.0,4.0
317,Loss,1,0,13,12,0,1,0.0,7.0
318,Loss,1,0,13,10,0,1,0.0,7.0
319,Loss,4,14,28,20,2,2,-10.0,3.0
320,Win,1,14,6,6,4,1,-2.0,4.0
321,Loss,0,0,22,8,0,0,2.0,8.0
322,Loss,0,3,24,15,0,0,-5.0,4.0
323,Loss,0,3,16,9,0,0,-1.0,1.0
324,Loss,0,0,17,8,0,0,0.0,11.0
325,Loss,0,0,17,8,0,0,0.0,11.0
327,Loss,0,1,11,8,0,0,-2.0,8.0
328,Loss,0,3,19,17,2,0,0.0,8.0
331,Loss,0,2,12,11,0,0,-7.0,10.0
332,Loss,0,4,19,18,2,0,-6.0,9.0
336,Loss,1,0,20,0,0,0,8.0,3.0
337,Loss,1,0,20,0,0,0,8.0,3.0
338,Loss,2,5,19,5,2,0,6.0,2.0
339,Loss,2,5,19,5,2,0,6.0,2.0
340,Loss,3,3,9,0,1,0,4.0,-5.0
341,Loss,3,3,9,0,1,0,4.0,-5.0
344,Draw,2,9,3,3,5,0,3.0,-11.0
345,Draw,2,9,3,3,5,0,3.0,-11.0
348,Loss,1,0,22,13,0,0,8.0,0.0
349,Loss,1,0,22,13,0,0,8.0,0.0
350,Loss,1,0,22,13,0,0,8.0,0.0
351,Loss,1,0,22,13,0,0,8.0,0.0
362,Loss,2,13,34,15,1,0,-5.0,2.0
365,Loss,4,14,28,25,4,4,-13.0,3.0
366,Loss,0,1,19,9,0,0,-3.0,11.0
371,Loss,0,1,18,6,0,0,-10.0,1.0
389,Win,3,18,4,3,2,3,-2.0,-15.0
391,Win,0,5,21,18,3,0,3.0,-3.0
392,Win,4,10,25,15,4,4,-10.0,1.0
393,Win,4,19,9,7,12,3,3.0,-4.0
394,Win,4,19,9,1,1,2,3.0,-4.0
395,Win,3,18,4,3,13,3,-2.0,-10.0
396,Win,3,18,4,3,13,3,-2.0,-10.0
403,Loss,0,0,9,4,0,0,-2.0,12.0
404,Loss,0,0,9,4,0,0,-2.0,12.0
405,Loss,0,3,8,3,0,0,-12.0,8.0
406,Loss,0,3,8,3,0,0,-12.0,8.0
407,Loss,0,0,11,6,0,0,-15.0,8.0
408,Loss,0,0,11,6,0,0,-15.0,8.0
409,Loss,0,0,9,3,0,0,-5.0,7.0
410,Loss,0,0,9,3,0,0,-5.0,7.0
411,Loss,1,1,14,4,0,0,-15.0,8.0
412,Loss,1,1,14,4,0,0,-15.0,8.0
413,Loss,0,4,16,6,0,0,-12.0,7.0
414,Loss,0,4,16,6,0,0,-12.0,7.0
415,Loss,0,4,3,0,1,0,-10.0,7.0
416,Loss,0,4,3,0,1,0,-10.0,7.0
443,Win,1,15,24,21,9,1,-5.0,-4.0
445,Loss,0,13,62,56,12,0,5.0,-3.0
446,Loss,1,12,18,17,10,1,-3.0,5.0
447,Win,2,11,23,17,4,0,-8.0,3.0
448,Win,2,11,23,17,4,0,-8.0,3.0
452,Win,1,7,22,18,4,0,-2.0,-6.0
453,Win,2,20,33,20,8,2,5.0,0.0
454,Loss,4,10,25,23,8,4,-13.0,4.0
455,Win,0,5,15,12,1,0,-5.0,6.0
567,Win,1,2,11,11,0,1,-5.0,-1.0
568,Win,0,21,11,9,8,0,-2.0,-11.0
569,Win,0,16,9,7,6,0,2.0,-3.0
570,Loss,1,2,11,10,0,1,-7.0,4.0
571,Loss,0,0,15,14,0,0,3.0,3.0
572,Loss,0,0,15,14,0,0,3.0,3.0
573,Loss,2,4,25,10,1,0,-2.0,2.0
574,Loss,0,1,23,16,0,0,1.0,0.0
576,Loss,0,1,22,15,0,0,2.0,-3.0
577,Loss,1,3,23,17,1,0,-9.0,1.0
578,Loss,1,3,23,17,1,0,-9.0,1.0
579,Loss,1,3,23,16,1,0,-9.0,1.0
580,Loss,1,3,23,16,1,0,-9.0,1.0
581,Loss,0,0,22,16,0,0,0.0,7.0
582,Loss,1,2,19,11,2,1,-10.0,2.0
583,Loss,1,4,23,4,1,0,8.0,-1.0
584,Loss,1,4,23,4,1,0,8.0,-1.0
586,Loss,1,7,18,17,7,1,5.0,-7.0
587,Loss,1,7,18,17,7,1,5.0,-7.0
588,Loss,1,0,7,6,0,1,-2.0,4.0
589,Loss,0,0,17,7,0,0,0.0,8.0
590,Loss,0,0,17,7,0,0,0.0,8.0
591,Loss,0,1,20,19,0,0,-2.0,6.0
592,Loss,0,1,20,6,0,0,-2.0,6.0
593,Loss,0,1,12,9,0,0,3.0,8.0
594,Loss,1,4,33,15,2,0,5.0,4.0
599,Draw,4,12,15,13,7,3,7.0,-1.0
600,Win,0,30,32,9,2,0,2.0,-2.0
601,Loss,0,1,13,9,0,0,2.0,-2.0
602,Loss,0,1,13,9,0,0,2.0,-2.0
604,Loss,0,5,37,33,2,0,12.0,-3.0
605,Loss,0,5,37,33,2,0,12.0,-3.0
606,Loss,0,5,37,33,2,0,12.0,-3.0
609,Draw,2,3,16,16,1,1,5.0,-6.0
625,Loss,0,4,25,10,0,0,-5.0,8.0
626,Loss,0,4,25,10,0,0,-5.0,8.0
627,Loss,0,3,23,12,2,0,-5.0,10.0
628,Loss,0,3,23,12,2,0,-5.0,10.0
629,Draw,7,30,9,9,24,4,7.0,2.0
630,Draw,7,30,9,9,24,4,7.0,2.0
631,Draw,7,30,9,9,24,4,7.0,2.0
632,Draw,7,30,9,9,24,4,7.0,2.0
633,Win,0,32,18,0,0,0,2.0,2.0
634,Win,0,32,18,0,0,0,2.0,2.0
635,Loss,1,6,20,12,6,1,-3.0,10.0
636,Loss,1,6,20,12,6,1,-3.0,10.0
645,Loss,0,2,17,6,1,0,0.0,-1.0
646,Loss,0,2,17,6,1,0,0.0,-1.0
647,Loss,0,2,17,6,1,0,0.0,-1.0
723,Win,4,27,6,6,21,4,0.0,-4.0
745,Win,0,12,6,6,8,0,-3.0,3.0
746,Win,0,12,6,6,8,0,-3.0,3.0
747,Loss,2,3,13,10,1,1,-5.0,4.0
748,Loss,2,3,13,10,1,1,-5.0,4.0
749,Loss,2,3,13,10,1,1,-5.0,4.0
750,Loss,2,3,13,10,1,1,-5.0,4.0
753,Win,1,5,13,12,4,1,-5.0,0.0
754,Win,1,5,13,12,4,1,-5.0,0.0
755,Win,0,10,9,9,7,0,-13.0,9.0
756,Win,0,10,9,9,7,0,-13.0,9.0
757,Draw,1,2,21,14,1,0,-7.0,1.0
758,Draw,1,2,21,14,1,0,-7.0,1.0
815,Win,1,4,6,6,2,1,4.0,-9.0
816,Loss,1,2,14,12,2,1,4.0,-3.0
817,Loss,1,2,14,12,2,1,4.0,-3.0
866,Loss,0,1,5,1,0,0,-3.0,1.0
867,Loss,0,1,5,1,0,0,-3.0,1.0
868,Loss,0,1,5,1,0,0,-3.0,1.0
940,Win,0,5,3,3,2,0,11.0,7.0
941,Win,0,5,3,3,2,0,11.0,7.0
989,Win,0,9,15,11,4,0,5.0,5.0
990,Win,0,9,15,11,4,0,5.0,5.0
991,Win,0,9,15,11,4,0,5.0,5.0
992,Loss,0,0,17,11,0,0,2.0,4.0
993,Loss,0,0,17,11,0,0,2.0,4.0
994,Loss,0,0,17,11,0,0,2.0,4.0
998,Win,3,4,23,12,1,3,3.0,1.0
999,Win,3,4,23,12,1,3,3.0,1.0
1000,Win,3,4,23,12,1,3,3.0,1.0
1001,Win,3,4,23,12,1,3,3.0,1.0
1002,Win,3,4,23,12,1,3,3.0,1.0
1003,Win,3,4,23,12,1,3,3.0,1.0
1004,Win,3,4,23,12,1,3,3.0,1.0
1005,Win,3,4,23,12,1,3,3.0,1.0
1006,Win,3,4,23,12,1,3,3.0,1.0
1007,Win,0,9,15,13,6,0,3.0,4.0
1008,Win,0,9,15,13,6,0,3.0,4.0
1009,Win,0,9,15,13,6,0,3.0,4.0
1010,Win,1,12,25,25,11,1,-6.0,-5.0
1011,Win,1,12,25,25,11,1,-6.0,-5.0
1012,Win,1,12,25,25,11,1,-6.0,-5.0
1013,Loss,0,0,15,12,0,0,2.0,3.0
1014,Loss,0,0,15,12,0,0,2.0,3.0
1015,Loss,0,0,15,12,0,0,2.0,3.0
1016,Win,1,25,3,3,8,1,1.0,-1.0
1017,Win,1,25,3,3,8,1,1.0,-1.0
1018,Win,1,25,3,3,8,1,1.0,-1.0
1028,Loss,0,9,15,9,3,0,-8.0,2.0
1029,Loss,0,9,15,9,3,0,-8.0,2.0
1030,Loss,0,9,15,9,3,0,-8.0,2.0
1031,Loss,6,7,30,29,7,6,-5.0,-3.0
1032,Loss,6,7,30,29,7,6,-5.0,-3.0
1033,Loss,6,7,30,29,7,6,-5.0,-3.0
1034,Loss,6,7,30,29,7,6,-5.0,-3.0
1035,Loss,6,7,30,29,7,6,-5.0,-3.0
1036,Loss,6,7,30,29,7,6,-5.0,-3.0
1037,Loss,6,7,30,29,7,6,-5.0,-3.0
1038,Loss,6,7,30,29,7,6,-5.0,-3.0
1039,Loss,6,7,30,29,7,6,-5.0,-3.0
1043,Loss,1,9,24,16,0,1,2.0,-2.0
1044,Loss,1,9,24,16,0,1,2.0,-2.0
1045,Loss,1,9,24,16,0,1,2.0,-2.0
1046,Loss,1,8,35,30,4,1,0.0,-5.0
1047,Loss,1,8,35,30,4,1,0.0,-5.0
1048,Loss,1,8,35,30,4,1,0.0,-5.0
1049,Draw,3,42,23,21,24,2,13.0,-4.0
1050,Draw,3,42,23,21,24,2,13.0,-4.0
1051,Draw,3,42,23,21,24,2,13.0,-4.0
1052,Draw,3,42,23,21,24,2,13.0,-4.0
1053,Draw,3,42,23,21,24,2,13.0,-4.0
1054,Draw,3,42,23,21,24,2,13.0,-4.0
1055,Loss,0,8,18,8,3,0,5.0,2.0
1056,Loss,0,8,18,8,3,0,5.0,2.0
1057,Loss,0,8,18,8,3,0,5.0,2.0
1058,Loss,1,5,15,9,1,1,-5.0,3.0
1059,Loss,1,5,15,9,1,1,-5.0,3.0
1060,Loss,1,5,15,9,1,1,-5.0,3.0
1061,Loss,1,5,15,9,1,1,-5.0,3.0
1062,Loss,1,5,15,9,1,1,-5.0,3.0
1063,Loss,1,5,15,9,1,1,-5.0,3.0
1064,Loss,1,5,15,9,1,1,-5.0,3.0
1065,Loss,1,5,15,9,1,1,-5.0,3.0
1066,Loss,1,5,15,9,1,1,-5.0,3.0
1067,Draw,2,1,8,5,1,0,0.0,3.0
1068,Draw,2,1,8,5,1,0,0.0,3.0
1069,Draw,2,1,8,5,1,0,0.0,3.0
1070,Loss,0,2,12,5,1,0,-3.0,7.0
1071,Loss,0,2,12,5,1,0,-3.0,7.0
1072,Loss,0,2,12,5,1,0,-3.0,7.0
1079,Loss,0,9,15,14,9,0,-8.0,7.0
1080,Win,0,15,30,14,4,0,-3.0,2.0
1081,Win,0,15,30,14,4,0,-3.0,2.0
1082,Loss,0,15,30,13,3,0,-3.0,2.0
1083,Loss,0,15,30,13,3,0,-3.0,2.0
1084,Loss,1,6,13,11,3,0,-3.0,7.0
1085,Loss,1,6,13,11,3,0,-3.0,7.0
1086,Loss,1,6,13,11,3,0,-3.0,7.0
1087,Loss,2,20,33,30,19,2,0.0,1.0
1088,Loss,2,20,33,25,14,2,0.0,1.0
1089,Loss,2,20,33,23,11,2,0.0,1.0
1090,Loss,1,15,19,18,12,1,-5.0,5.0
1091,Loss,1,15,19,18,12,1,-5.0,5.0
1092,Loss,1,15,19,15,9,1,-5.0,5.0
1093,Loss,1,15,19,15,9,1,-5.0,5.0
1095,Loss,8,28,15,10,5,3,2.0,-4.0
1096,Loss,0,4,23,20,3,0,-10.0,3.0
1097,Win,0,14,11,3,2,0,1.0,3.0
1098,Win,0,14,11,3,2,0,1.0,3.0
1099,Loss,0,0,17,15,0,0,-6.0,3.0
1100,Win,5,9,23,18,2,1,7.0,-1.0
1101,Win,2,29,9,8,10,2,10.0,-3.0
1102,Loss,0,1,27,22,0,0,7.0,1.0
1103,Loss,1,1,18,13,0,1,-5.0,6.0
1104,Win,0,4,19,19,2,0,-4.0,5.0
1105,Win,0,4,19,18,1,0,-4.0,5.0
1106,Win,0,20,15,1,2,0,7.0,-1.0
1107,Win,0,20,15,1,2,0,7.0,-1.0
1108,Win,0,20,15,1,2,0,7.0,-1.0
1109,Loss,0,0,17,12,0,0,-3.0,7.0
1110,Win,3,13,26,24,6,2,7.0,2.0
1112,Win,1,27,31,19,16,1,5.0,2.0
1174,Loss,3,4,23,21,4,3,-2.0,-3.0
1175,Loss,3,4,23,21,4,3,-2.0,-3.0
1176,Loss,3,4,23,21,4,3,-2.0,-3.0
1177,Loss,3,4,23,21,4,3,-2.0,-3.0
1178,Loss,3,4,23,21,4,3,-2.0,-3.0
1179,Loss,3,4,23,21,4,3,-2.0,-3.0
1180,Win,0,1,15,12,0,0,3.0,-4.0
1181,Win,0,1,15,12,0,0,3.0,-4.0
1224,Draw,1,12,25,24,9,0,-4.0,2.0
1225,Win,1,25,3,3,7,1,3.0,6.0
1228,Win,0,19,56,56,18,0,11.0,0.0
1229,Win,1,22,15,15,17,1,-5.0,3.0
1230,Win,4,9,43,41,3,4,11.0,-1.0
1231,Win,4,9,43,41,3,4,11.0,-1.0
1236,Win,1,12,25,10,2,0,-4.0,0.0
1237,Loss,0,0,15,14,0,0,3.0,8.0
1238,Loss,2,2,29,21,0,0,-2.0,4.0
1239,Win,0,7,30,30,6,0,8.0,0.0
1240,Win,2,42,10,10,10,0,-7.0,-6.0
1241,Win,2,42,10,10,10,0,-7.0,-6.0
1242,Win,1,20,13,11,6,1,3.0,-1.0
1243,Loss,0,0,15,9,0,0,-4.0,13.0
1244,Loss,0,12,28,20,5,0,-8.0,2.0
1245,Win,0,12,28,19,4,0,-8.0,2.0
1246,Loss,0,5,13,10,1,0,-3.0,12.0
1247,Draw,3,18,8,3,8,1,-4.0,6.0
1248,Win,3,18,8,3,7,1,-4.0,6.0
1249,Win,3,18,8,1,3,0,-4.0,6.0
1250,Win,3,18,8,1,1,0,-4.0,6.0
1252,Win,0,20,10,10,18,0,-2.0,7.0
1253,Win,0,20,10,9,13,0,-2.0,7.0
1254,Win,0,8,20,20,6,0,7.0,7.0
1255,Win,0,8,20,20,4,0,7.0,7.0
1256,Loss,0,0,15,8,0,0,4.0,11.0
1257,Win,2,19,20,18,14,2,10.0,4.0
1258,Win,5,32,34,33,31,5,13.0,3.0
1259,Win,5,32,34,33,28,5,13.0,3.0
1261,Win,1,17,31,17,9,1,8.0,-2.0
1262,Loss,1,17,31,15,8,1,8.0,-2.0
1263,Loss,0,2,12,9,1,0,-3.0,8.0
1274,Win,0,29,38,32,11,0,1.0,-3.0
1275,Win,0,29,38,32,11,0,1.0,-3.0
1280,Win,3,18,8,7,16,3,7.0,-3.0
1281,Win,3,18,8,7,16,3,7.0,-3.0
1295,Win,1,32,11,11,29,1,11.0,-21.0
1296,Win,1,32,11,11,29,1,11.0,-21.0
1297,Win,1,32,11,11,29,1,11.0,-21.0
1309,Win,1,32,11,11,25,1,5.0,-10.0
1310,Loss,0,1,15,8,0,0,-2.0,3.0
1311,Draw,5,32,34,19,3,2,3.0,-1.0
1313,Loss,0,12,28,21,5,0,-10.0,-4.0
1314,Win,3,18,8,1,5,0,-6.0,0.0
1315,Loss,1,11,39,26,2,1,1.0,-3.0
1316,Win,0,20,10,7,10,0,-4.0,1.0
1317,Win,0,20,10,7,9,0,-4.0,1.0
1318,Win,3,18,15,13,6,2,-2.0,2.0
1319,Loss,4,24,20,16,7,3,-2.0,0.0
1320,Loss,4,24,20,16,7,3,-2.0,0.0
1322,Win,1,32,11,8,5,1,2.0,-17.0
1323,Loss,0,12,21,20,11,0,1.0,-12.0
1324,Loss,0,12,21,20,11,0,1.0,-12.0
1325,Loss,0,12,21,15,6,0,1.0,-12.0
1326,Loss,0,12,21,15,6,0,1.0,-12.0
1327,Win,5,32,34,27,16,5,0.0,-8.0
1328,Loss,2,4,12,7,2,0,-15.0,1.0
1337,Win,1,32,11,10,16,1,12.0,-16.0
1338,Win,1,17,12,12,14,1,10.0,-2.0
1342,Loss,0,2,10,7,0,0,1.0,8.0
1343,Draw,2,7,41,32,6,1,4.0,-2.0
1344,Loss,0,5,28,8,0,0,4.0,0.0
1346,Loss,1,6,18,17,6,1,6.0,5.0
1347,Loss,1,6,18,17,6,1,6.0,5.0
1348,Loss,1,6,18,17,6,1,6.0,5.0
1356,Loss,0,1,15,6,0,0,10.0,-5.0
1357,Win,0,8,8,8,5,0,15.0,-1.0
1358,Win,2,7,5,5,3,2,15.0,-17.0
1359,Loss,0,0,6,5,0,0,-3.0,5.0
1362,Loss,0,0,25,24,0,0,0.0,5.0
1363,Loss,0,0,25,24,0,0,0.0,5.0
1364,Loss,0,0,25,24,0,0,0.0,5.0
1365,Loss,0,0,25,15,0,0,-5.0,6.0
1366,Loss,0,0,25,4,0,0,-5.0,6.0
1367,Loss,1,2,15,14,2,1,-2.0,5.0
1369,Win,0,23,7,7,19,0,9.0,9.0
1370,Win,0,23,7,7,19,0,9.0,9.0
1371,Loss,0,0,25,20,0,0,-6.0,5.0
1372,Loss,0,2,31,30,2,0,-5.0,3.0
1374,Loss,0,7,31,16,1,0,-9.0,-2.0
1375,Loss,0,6,27,18,1,0,-11.0,3.0
1441,Loss,0,0,7,5,0,0,0.0,1.0
1442,Loss,0,0,7,5,0,0,0.0,1.0
1451,Loss,0,1,26,20,0,0,-1.0,3.0
1452,Loss,0,1,26,20,0,0,-1.0,3.0
1453,Loss,0,1,26,20,0,0,-1.0,3.0
1454,Loss,0,1,26,20,0,0,-1.0,3.0
1455,Loss,0,10,23,20,6,0,0.0,-2.0
1456,Loss,0,10,23,20,6,0,0.0,-2.0
1457,Win,1,10,27,23,4,0,0.0,-2.0
1458,Win,1,10,27,23,4,0,0.0,-2.0
1470,Loss,0,1,9,5,0,0,0.0,4.0
1471,Loss,1,1,18,7,0,1,-7.0,5.0
1475,Loss,0,1,18,9,0,0,-2.0,3.0
1476,Loss,0,9,23,20,6,0,-7.0,-5.0
1503,Loss,0,1,2,0,0,0,-2.0,5.0
1504,Loss,0,1,2,0,0,0,-2.0,5.0
1505,Loss,0,1,2,0,1,0,-13.0,4.0
1529,Loss,1,1,5,4,0,1,9.0,-2.0
1530,Loss,1,1,5,4,0,1,9.0,-2.0
1531,Loss,1,1,5,4,0,1,9.0,-2.0
1532,Loss,1,1,5,4,0,1,9.0,-2.0
1541,Draw,1,3,1,1,1,0,6.0,0.0
1542,Draw,1,3,1,1,1,0,6.0,0.0
1543,Draw,1,3,1,1,1,0,6.0,0.0
1544,Draw,1,3,1,1,1,0,6.0,0.0
1587,Loss,0,3,8,7,1,0,-4.0,9.0
1597,Loss,0,0,15,8,0,0,-5.0,3.0
1605,Loss,0,0,15,12,0,0,-7.0,-1.0
1606,Loss,0,0,15,9,0,0,-7.0,-1.0
1607,Loss,0,0,15,12,0,0,-7.0,-1.0
1608,Loss,0,0,15,9,0,0,-7.0,-1.0
1648,Draw,1,3,0,0,1,0,-7.0,6.0
1651,Win,1,3,0,0,2,1,0.0,-11.0
1652,Win,1,3,0,0,1,1,0.0,-11.0
1654,Win,0,1,3,3,0,0,2.0,1.0
1696,Win,2,7,11,10,2,2,5.0,3.0
1697,Win,2,7,11,10,2,2,5.0,3.0
1698,Win,3,47,21,20,17,2,10.0,-2.0
1699,Win,3,47,21,20,17,2,10.0,-2.0
1702,Win,3,42,23,22,38,3,13.0,-1.0
1703,Win,3,42,23,22,38,3,13.0,-1.0
1704,Win,3,42,23,22,38,3,13.0,-1.0
1705,Win,3,42,23,22,38,3,13.0,-1.0
1708,Loss,2,3,18,16,1,2,0.0,-1.0
1709,Loss,2,3,18,16,1,2,0.0,-1.0
1713,Win,4,10,16,3,1,3,8.0,-1.0
1714,Draw,4,10,16,3,0,2,8.0,-1.0
1715,Loss,0,3,40,33,2,0,2.0,-1.0
1716,Loss,0,3,40,33,2,0,2.0,-1.0
1717,Loss,0,0,30,21,0,0,-3.0,4.0
1720,Win,1,32,7,7,9,0,5.0,-2.0
1721,Win,1,32,7,7,9,0,5.0,-2.0
1722,Loss,1,32,7,5,7,0,5.0,-2.0
1723,Loss,1,32,7,5,7,0,5.0,-2.0
1724,Loss,0,0,21,13,0,0,0.0,0.0
